contract_id,language,clause_id,clause_text,label
C007,ar,11.1,يجوز للمكتب إنهاء العقد دون إشعار أو تعويض في حال الإخلال الجسيم بواجبات العمل وفق نظام العمل.,termination
C007,en,11.1,The Employer may terminate the contract without notice or compensation in cases of serious breach in accordance with Saudi Labor Law.,termination
C007,ar,11.2,يجوز للمكتب إنهاء العقد بإشعار كتابي مدته ثلاثون يومًا أو دفع راتب شهر كتعويض.,termination
C007,en,11.2,The Employer may terminate the contract with thirty days’ written notice or by paying one month’s salary as compensation.,termination
C007,ar,11.3,عند استقالة الموظف يجب عليه إشعار المكتب كتابيًا قبل ثلاثين يومًا ويتحمل تكاليف سفره.,termination
C007,en,11.3,"If the Employee resigns, he must provide thirty days’ written notice and bear the cost of repatriation.",termination
C007,ar,12.1,في حالة وفاة الموظف يتكفل المكتب بإعادة جثمانه وتعويض ورثته وفق نظام العمل.,termination
C007,en,12.1,"In the event of the Employee’s death, the Employer shall repatriate the body and compensate heirs according to Saudi Labor Law.",termination
C007,ar,13.1,يستحق الموظف مكافأة نهاية خدمة تعادل نصف راتب عن كل سنة خدمة.,termination
C007,en,13.1,The Employee shall be entitled to an end-of-service benefit equal to half a monthly salary for each year of service.,termination
C007,ar,14.1,يوفر المكتب السكن والنقل والطعام وتذاكر السفر وفق الشروط المحددة.,benefits
C007,en,14.1,"The Employer shall provide housing, transportation, food allowance, and travel tickets as specified.",benefits
C007,ar,15.1,يخضع الموظف لأنظمة المكتب ونظام العمل السعودي ويكون مكتب العمل الجهة المختصة بأي نزاع.,governing_law
C007,en,15.1,"The Employee shall be subject to Employer regulations and Saudi Labor Law, and the Labor Office shall have jurisdiction over disputes.",governing_law
C007,ar,16.1,يمثل هذا العقد كامل الاتفاق بين الطرفين ويحل محل أي اتفاقات سابقة ويُفسر وفق أنظمة المملكة.,governing_law
C007,en,16.1,"This contract represents the full agreement between the parties, supersedes prior agreements, and shall be interpreted under the laws of the Kingdom.",governing_law
